,IncGeo_BoroughName,WardName,Count
612,SUTTON,SUTTON SOUTH,1059
613,SUTTON,SUTTON WEST,807
614,SUTTON,THE WRYTHE,777
615,SUTTON,WALLINGTON NORTH,1138
616,SUTTON,WALLINGTON SOUTH,1156
617,SUTTON,WANDLE VALLEY,1190
618,SUTTON,WORCESTER PARK,629
619,TOWER HAMLETS,BETHNAL GREEN,4976
620,TOWER HAMLETS,BLACKWALL & CUBITT TOWN,2255
621,TOWER HAMLETS,BOW EAST,2750
622,TOWER HAMLETS,BOW WEST,2230
623,TOWER HAMLETS,BROMLEY NORTH,2012
624,TOWER HAMLETS,BROMLEY SOUTH,1636
625,TOWER HAMLETS,CANARY WHARF,4184
626,TOWER HAMLETS,ISLAND GARDENS,1334
627,TOWER HAMLETS,LANSBURY,3736
628,TOWER HAMLETS,LIMEHOUSE,1016
629,TOWER HAMLETS,MILE END,3026
630,TOWER HAMLETS,POPLAR,2178
631,TOWER HAMLETS,SHADWELL,3165
632,TOWER HAMLETS,SPITALFIELDS & BANGLATOWN,3702
633,TOWER HAMLETS,ST DUNSTAN'S,151
634,TOWER HAMLETS,ST KATHARINE'S & WAPPING,121
635,TOWER HAMLETS,ST. DUNSTAN'S,1913
636,TOWER HAMLETS,ST. KATHARINE'S & WAPPING,1414
637,TOWER HAMLETS,ST. PETER'S,4410
638,TOWER HAMLETS,STEPNEY GREEN,2144
639,TOWER HAMLETS,WEAVERS,2605
640,TOWER HAMLETS,WHITECHAPEL,5347
641,WALTHAM FOREST,CANN HALL,2456
642,WALTHAM FOREST,CATHALL,1754
643,WALTHAM FOREST,CHAPEL END,1316
644,WALTHAM FOREST,CHINGFORD GREEN,1175
645,WALTHAM FOREST,ENDLEBURY,1084
646,WALTHAM FOREST,FOREST,1850
647,WALTHAM FOREST,GROVE GREEN,930
648,WALTHAM FOREST,HALE END AND HIGHAMS PARK,1141
649,WALTHAM FOREST,HATCH LANE,1268
650,WALTHAM FOREST,HIGH STREET,1920
651,WALTHAM FOREST,HIGHAM HILL,1734
652,WALTHAM FOREST,HOE STREET,2119
653,WALTHAM FOREST,LARKSWOOD,1545
654,WALTHAM FOREST,LEA BRIDGE,1876
655,WALTHAM FOREST,LEYTON,2340
656,WALTHAM FOREST,LEYTONSTONE,1579
657,WALTHAM FOREST,MARKHOUSE,1749
658,WALTHAM FOREST,VALLEY,1471
659,WALTHAM FOREST,WILLIAM MORRIS,1441
660,WALTHAM FOREST,WOOD STREET,1944
661,WANDSWORTH,BALHAM,1311
662,WANDSWORTH,BEDFORD,1296
663,WANDSWORTH,EARLSFIELD,1303
664,WANDSWORTH,EAST PUTNEY,1630
665,WANDSWORTH,FAIRFIELD,1887
666,WANDSWORTH,FURZEDOWN,1546
667,WANDSWORTH,GRAVENEY,1856
668,WANDSWORTH,LATCHMERE,2805
669,WANDSWORTH,NIGHTINGALE,1670
670,WANDSWORTH,NORTHCOTE,1585
671,WANDSWORTH,QUEENSTOWN,2923
672,WANDSWORTH,ROEHAMPTON AND PUTNEY HEATH,3076
673,WANDSWORTH,SHAFTESBURY,1236
674,WANDSWORTH,SOUTHFIELDS,1660
675,WANDSWORTH,ST. MARY'S PARK,2320
676,WANDSWORTH,THAMESFIELD,1740
677,WANDSWORTH,TOOTING,3122
678,WANDSWORTH,WANDSWORTH COMMON,1443
679,WANDSWORTH,WEST HILL,1462
680,WANDSWORTH,WEST PUTNEY,1638
681,WESTMINSTER,ABBEY ROAD,1768
682,WESTMINSTER,BAYSWATER,2035
683,WESTMINSTER,BRYANSTON AND DORSET SQUARE,3564
684,WESTMINSTER,CHURCH STREET,3502
685,WESTMINSTER,CHURCHILL,2164
686,WESTMINSTER,HARROW ROAD,2059
687,WESTMINSTER,HYDE PARK,3651
688,WESTMINSTER,KNIGHTSBRIDGE AND BELGRAVIA,3748
689,WESTMINSTER,LANCASTER GATE,3164
690,WESTMINSTER,LITTLE VENICE,1813
691,WESTMINSTER,MAIDA VALE,1328
692,WESTMINSTER,MARYLEBONE HIGH STREET,7355
693,WESTMINSTER,QUEEN'S PARK,1830
694,WESTMINSTER,REGENT'S PARK,3788
695,WESTMINSTER,ST. JAMES'S,17768
696,WESTMINSTER,TACHBROOK,1953
697,WESTMINSTER,VINCENT SQUARE,2903
698,WESTMINSTER,WARWICK,3656
699,WESTMINSTER,WEST END,20774
700,WESTMINSTER,WESTBOURNE,2848
