IncidentNumber,DateTimeOfCall,CalYear,FinYear,TypeOfIncident,PumpCount,PumpHoursTotal,HourlyNominalCost(£),IncidentNominalCost(£),PropertyType,PropertyCategory,IsBariatric,SpecialServiceTypeCategory,SpecialServiceType,FinalDescription,WardCode,WardName,BoroughCode,BoroughName,StnGroundName,Postcode
126256121,15/10/2012 14:11,2012,2012/13,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS LIFTING HEAVY PATIENT,E05000261,Ravenscourt Park,E09000013,Hammersmith and Fulham,Hammersmith,W6
133194121,29/10/2012 19:27,2012,2012/13,Special Service,1,1,260,260,Playground/Recreation area (not equipment),Outdoor,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS GAIN ACCESS  TO LOCKED PARK,E05011112,Rotherhithe,E09000028,Southwark,Deptford,SE16
133724121,30/10/2012 22:54,2012,2012/13,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH HEAVY PATIENT,E05000343,West Ruislip,E09000017,Hillingdon,Ruislip,HA4
140616121,13/11/2012 12:46,2012,2012/13,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000274,Muswell Hill,E09000014,Haringey,Hornsey,N10
142415121,17/11/2012 10:11,2012,2012/13,Special Service,1,2,260,520,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,TO ASSIST LAS WITH HEAVY PATIENT IN CARDIAC ARREST,E05000636,Hyde Park,E09000033,Westminster,Paddington,W2
148482121,30/11/2012 04:17,2012,2012/13,Special Service,1,3,260,780,House - single occupancy ,Dwelling,1,Other rescue/release of persons,Rescue/Release of person - Other action,ASSIST AMBULANCE WITH LARGE PATIENT,E05000332,Hillingdon East,E09000017,Hillingdon,Hillingdon,UB10
148634121,30/11/2012 12:50,2012,2012/13,Special Service,1,2,260,520,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH LARGE PATIENT,E05000061,West Finchley,E09000003,Barnet,Finchley,N12
150293121,03/12/2012 15:45,2012,2012/13,Special Service,2,4,260,1040,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000592,Chapel End,E09000031,Waltham Forest,Walthamstow,E17
153004121,08/12/2012 23:40,2012,2012/13,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE,E05000222,Greenwich West,E09000011,Greenwich,Greenwich,SE10
154349121,11/12/2012 19:05,2012,2012/13,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,"ASSIST LAS WITH PATIENT,ALP",E05000449,New Cross,E09000023,Lewisham,Deptford,SE8
162744121,29/12/2012 22:00,2012,2012/13,Special Service,1,2,260,520,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST AMBULANCE WITH HEAVY PATIENT,E05011469,Kenley,E09000008,Croydon,Purley,CR8
50131,01/01/2013 01:07,2013,2012/13,Special Service,1,2,260,520,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,MAN COLLAPSED BEHIND LOCKED BATHROOM DOOR,E05000223,Kidbrooke with Hornfair,E09000011,Greenwich,Eltham,SE3
85131,01/01/2013 02:38,2013,2012/13,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH REMOVAL OF HEAVY PATIENT,E05000381,Tollington,E09000019,Islington,Holloway,N4
2325131,06/01/2013 17:03,2013,2012/13,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assistance to other agencies,ASSIST WITH HEAVY PATIENT,E05000102,Tokyngton,E09000005,Brent,Wembley,HA9
4427131,11/01/2013 19:50,2013,2012/13,Special Service,1,1,260,260,Other Dwelling ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMB GAIN ENTRY,E05011244,Goodmayes,E09000026,Redbridge,Ilford,IG3
5361131,14/01/2013 02:00,2013,2012/13,Special Service,1,1,260,260,Licensed House in Multiple Occupation - 3 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,TO ASSIST AMB WITH HEAVY PATIENT - LIFE THREATENING,E05000057,Mill Hill,E09000003,Barnet,Finchley,NW7
5382131,14/01/2013 04:30,2013,2012/13,Special Service,1,1,260,260,Road surface/pavement ,Outdoor,1,Medical Incident,Medical incident - Lift person ,TO ASSIST LAS WITH HEAVY PATIENT - LIFE THREATENING,E05009327,Mile End,E09000030,Tower Hamlets,Poplar,E3
7509131,18/01/2013 17:27,2013,2012/13,Special Service,1,1,260,260,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PATIENT IN CARDIAC ARREST,E05000280,Tottenham Green,E09000014,Haringey,Tottenham,N15
10112131,24/01/2013 16:55,2013,2012/13,Special Service,1,1,260,260,Nursing/Care Home/Hospice,Other Residential,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000057,Mill Hill,E09000003,Barnet,Finchley,NW7
10471131,25/01/2013 11:41,2013,2012/13,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,TO ASSIST AMBULANCE WITH HEAVY PATIENT,E05000564,Sutton Central,E09000029,Sutton,Sutton,SM1
10909131,26/01/2013 11:57,2013,2012/13,Special Service,1,2,260,520,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST MEMBER OF THE PUBLIC,E05009323,Canary Wharf,E09000030,Tower Hamlets,Millwall,E14
11262131,27/01/2013 05:39,2013,2012/13,Special Service,1,2,260,520,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS TO HELP WITH HEAVY PATIENT,E05000307,Cranham,E09000016,Havering,Hornchurch,RM14
17697131,10/02/2013 18:11,2013,2012/13,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PATIENT,E05000225,Peninsula,E09000011,Greenwich,East Greenwich,SE10
25769131,28/02/2013 08:58,2013,2012/13,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS TO REMOVE PATIENT,E05011464,Bensham Manor,E09000008,Croydon,Norbury,CR7
27654131,04/03/2013 10:13,2013,2012/13,Special Service,1,1,260,260,Cycle path/public footpath/bridleway ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PATIENT,E05000153,Fairfield,E09000008,Croydon,Croydon,CR9
33792131,17/03/2013 20:12,2013,2012/13,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,SMELL OF GAS,E05000258,North End,E09000013,Hammersmith and Fulham,Fulham,W14
39282131,30/03/2013 03:44,2013,2012/13,Special Service,1,1,260,260,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE,E05011241,Cranbrook,E09000026,Redbridge,Ilford,IG1
39727131,31/03/2013 00:39,2013,2012/13,Special Service,1,2,260,520,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ELDERLY PERSON STUCK IN BATH,E05000316,Mawneys,E09000016,Havering,Romford,RM5
40146131,31/03/2013 22:35,2013,2012/13,Special Service,1,1,260,260,Caravan/Mobile home (permanent dwelling),Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH  UNCONSCIOUS PATIENT IN CARAVAN,E05000323,Upminster,E09000016,Havering,Wennington,RM14
40183131,01/04/2013 00:30,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000118,Farnborough and Crofton,E09000006,Bromley,Orpington,BR6
41418131,03/04/2013 19:53,2013,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE CREW,E05000204,Lower Edmonton,E09000010,Enfield,Edmonton,N9
43009131,07/04/2013 10:54,2013,2013/14,Special Service,1,1,290,290,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PATIENT PERSON TRAPPED IN BEDFRAME,E05009334,Stepney Green,E09000030,Tower Hamlets,Shadwell,E1
43463131,08/04/2013 11:49,2013,2013/14,Special Service,1,2,290,580,Road surface/pavement ,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,ASSISTING LAS WITH CASUALTY,E05009288,Aldersgate,E09000001,City of London,Dowgate,EC1A
46616131,15/04/2013 12:59,2013,2013/14,Special Service,1,1,290,290,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,RUNNING CALL TO ASSIST LAS WITH REMOVAL OF PATIENT,E05000130,Camden Town with Primrose Hill,E09000007,Camden,Euston,NW3
47133131,16/04/2013 17:31,2013,2013/14,Special Service,1,1,290,290,Restaurant/cafe,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH CASUALTY,E05000428,St. Leonard's,E09000022,Lambeth,Norbury,SW16
48128131,18/04/2013 16:47,2013,2013/14,Special Service,1,3,290,870,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH REMOVAL OF HEAVY PATIENT,E05000322,Squirrel's Heath,E09000016,Havering,Hornchurch,RM11
50855131,24/04/2013 05:29,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF HEAVY PATIENT,E05011248,Mayfield,E09000026,Redbridge,Ilford,IG1
51669131,25/04/2013 19:21,2013,2013/14,Special Service,1,2,290,580,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE CREW WITH PATIENT WITH LIFE THREATENING CONDITION,E05009391,Chelsea Riverside,E09000020,Kensington and Chelsea,Chelsea,SW10
52727131,28/04/2013 01:26,2013,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT,E05000306,Brooklands,E09000016,Havering,Romford,RM7
53318131,29/04/2013 05:36,2013,2013/14,Special Service,1,2,290,580,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS TO MOVE PATIENT,E05000308,Elm Park,E09000016,Havering,Hornchurch,RM12
60044131,11/05/2013 22:36,2013,2013/14,Special Service,1,2,290,580,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH REMOVAL OF HEAVY PATIENT,E05000421,Ferndale,E09000022,Lambeth,Brixton,SW9
63216131,19/05/2013 13:35,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE CREWS WITH HEAVY PATIENT,E05000278,Seven Sisters,E09000014,Haringey,Tottenham,N15
64090131,21/05/2013 07:05,2013,2013/14,Special Service,1,1,290,290,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON WITH LEG CAUGHT IN DROP SIDE OF BED,E05009334,Stepney Green,E09000030,Tower Hamlets,Shadwell,E1
69011131,01/06/2013 02:33,2013,2013/14,Special Service,1,1,290,290,Medical/health centre,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,CEILING IN PRECARIOUS POSITION,E05000365,Turnham Green,E09000018,Hounslow,Chiswick,W4
74161131,11/06/2013 11:44,2013,2013/14,Special Service,1,2,290,580,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH HEAVY PATIENT,E05000137,Highgate,E09000007,Camden,Kentish Town,NW5
76077131,15/06/2013 12:15,2013,2013/14,Special Service,1,2,290,580,Bus/coach ,Road Vehicle,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS TO REMOVE PATIENT FROM BUS,E05000490,Plaistow South,E09000025,Newham,Plaistow,E13
76461131,16/06/2013 04:26,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,TO ASSIST AMBULANCE REMOVE PATIENT,E05000201,Haselbury,E09000010,Enfield,Edmonton,N9
79538131,22/06/2013 13:19,2013,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON SHUT IN LIFT - NON EMERGENCY,E05000523,Heathfield,E09000027,Richmond upon Thames,Twickenham,TW4
87596131,07/07/2013 16:52,2013,2013/14,Special Service,1,1,290,290,Department Store ,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,PERSON SHUT IN LIFT NON EMERGENCY,E05000492,Stratford and New Town,E09000025,Newham,Stratford,E20
88219131,08/07/2013 12:26,2013,2013/14,Special Service,1,1,290,290,Car ,Road Vehicle,1,Effecting entry/exit,Effecting entry - Other action,ASSIST LAS WITH FEMALE STUCK IN CAR BETWEEN SEATS,E05000137,Highgate,E09000007,Camden,Kentish Town,N19
89992131,11/07/2013 02:56,2013,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT LIFE THREATENING,E05000283,White Hart Lane,E09000014,Haringey,Tottenham,N17
90269131,11/07/2013 16:10,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMB WITH PATIENT,E05011231,Slade Green & Northend,E09000004,Bexley,Erith,DA8
98389131,22/07/2013 11:50,2013,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH HEAVY PATIENT,E05009399,Notting Dale,E09000020,Kensington and Chelsea,North Kensington,W11
100387131,24/07/2013 22:11,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT,E05011097,Champion Hill,E09000028,Southwark,Peckham,SE5
103840131,31/07/2013 08:58,2013,2013/14,Special Service,1,1,290,290,Self contained Sheltered Housing ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE TO LIFT HEAVY PATIENT,E05009403,Royal Hospital,E09000020,Kensington and Chelsea,Chelsea,SW3
105131131,02/08/2013 11:44,2013,2013/14,Special Service,1,1,290,290,Car ,Road Vehicle,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PERSON IN CARDIAC ARREST,E05000401,Berrylands,E09000021,Kingston upon Thames,Surbiton,KT5
108837131,09/08/2013 13:54,2013,2013/14,Special Service,1,1,290,290,Cinema ,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,PERSON SHUT IN LIFT NON EMERGENCY,E05000564,Sutton Central,E09000029,Sutton,Sutton,SM1
110490131,12/08/2013 08:47,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT,E05000454,Whitefoot,E09000023,Lewisham,Bromley,BR1
111067131,13/08/2013 10:40,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Lift person ,TO ASSIST AMBULANCE WITH REMOVAL OF HEAVY PATIENT,E05000271,Harringay,E09000014,Haringey,Hornsey,N8
115682131,21/08/2013 23:01,2013,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON LOCKED IN,E05011102,Faraday,E09000028,Southwark,Old Kent Road,SE17
115847131,22/08/2013 08:58,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Collapse ,ASSIST BARIATRIC MEMBER OF PUBLIC FALLEN,E05009319,Bow East,E09000030,Tower Hamlets,Bethnal Green,E3
117707131,25/08/2013 15:39,2013,2013/14,Special Service,1,1,290,290,Other Dwelling ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000453,Telegraph Hill,E09000023,Lewisham,New Cross,SE4
123588131,04/09/2013 23:42,2013,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF LARGE PATIENT,E05011485,South Norwood,E09000008,Croydon,Woodside,SE25
123763131,05/09/2013 12:06,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH REMOVAL OF PATIENT,E05000617,Latchmere,E09000032,Wandsworth,Battersea,SW11
124358131,06/09/2013 11:27,2013,2013/14,Special Service,1,1,290,290,Houseboat (permanent dwelling) ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON COLLAPSED BEHIND BATHROOM DOOR,E05000053,Golders Green,E09000003,Barnet,West Hampstead,NW2
124804131,07/09/2013 09:41,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH REMOVAL OF PATIENT,E05000436,Vassall,E09000022,Lambeth,Brixton,SW9
125047131,07/09/2013 19:18,2013,2013/14,Special Service,1,2,290,580,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,TO ASSIST AMBULANCE WITH REMOVAL OF HEAVY PATIENT,E05009404,St. Helen's,E09000020,Kensington and Chelsea,North Kensington,W10
125647131,08/09/2013 20:56,2013,2013/14,Special Service,1,1,290,290,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,FLOODING,E05000331,Heathrow Villages,E09000017,Hillingdon,Hayes,UB7
127076131,12/09/2013 06:16,2013,2013/14,Special Service,1,3,290,870,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Medical Incident,Medical incident - Lift person ,ASSIST LAS WITH REMOVAL OF HEAVY CASUALTY,E05009392,Colville,E09000020,Kensington and Chelsea,North Kensington,W11
131182131,21/09/2013 00:11,2013,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON STUCK IN BATH,E05000264,Town,E09000013,Hammersmith and Fulham,Fulham,SW6
134327131,27/09/2013 16:16,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000329,Eastcote and East Ruislip,E09000017,Hillingdon,Ruislip,HA4
134685131,28/09/2013 13:08,2013,2013/14,Special Service,1,1,290,290,Human harm outdoors,Outdoor,1,Assist other agencies,Assist ambulance with over weight person,PERSON COLLAPSED IN BUSHES,E05000084,Thamesmead East,E09000004,Bexley,Erith,DA18
139164131,07/10/2013 18:33,2013,2013/14,Special Service,1,3,290,870,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSISTING LAS WITH REMOVAL OF LARGE PATIENT,E05000203,Jubilee,E09000010,Enfield,Edmonton,EN1
139243131,07/10/2013 21:23,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE WITH PATIENT STUCK IN BATH,E05000192,Walpole,E09000009,Ealing,Ealing,W13
150690131,31/10/2013 06:10,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000470,St. Helier,E09000024,Merton,Sutton,SM4
151098131,01/11/2013 01:37,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH LARGE PATIENT,E05000366,Barnsbury,E09000019,Islington,Islington,N1
156270131,11/11/2013 13:32,2013,2013/14,Special Service,1,2,290,580,Pub/wine bar/bar ,Non Residential,1,Other rescue/release of persons,Rescue/Release of persons - From height,ASSIST AMBULANCE WITH HEAVY PATIENT,E05011116,South Bermondsey,E09000028,Southwark,Old Kent Road,SE16
158908131,17/11/2013 12:35,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,No action (not false alarm),Service not required,ASSIST LAS WITH HEAVY PATIENT,E05000118,Farnborough and Crofton,E09000006,Bromley,Orpington,BR6
160749131,21/11/2013 10:16,2013,2013/14,Special Service,1,1,290,290,Self contained Sheltered Housing ,Dwelling,1,Other rescue/release of persons,Rescue/Release of persons - Confined space - atmosphere not noxious ,HEAVY PERSONS STUCK IN BATH,E05000034,Heath,E09000002,Barking and Dagenham,Dagenham,RM9
163801131,27/11/2013 21:24,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF PATIENT,E05000314,Heaton,E09000016,Havering,Harold Hill,RM3
168972131,08/12/2013 22:35,2013,2013/14,Special Service,1,1,290,290,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PATIENT,E05000268,Bruce Grove,E09000014,Haringey,Tottenham,N17
172876131,17/12/2013 22:05,2013,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000465,Lower Morden,E09000024,Merton,Sutton,SM4
173777131,19/12/2013 21:45,2013,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS TO REMOVE PATIENT,E05000098,Queens Park,E09000005,Brent,Willesden,NW10
173895131,20/12/2013 07:24,2013,2013/14,Special Service,1,1,290,290,Fire station ,Non Residential,1,Assist other agencies,Assist ambulance with over weight person,REQ AMBULANCE FOR FF WITH EYE INJURY,E05009328,Poplar,E09000030,Tower Hamlets,Poplar,E14
1043141,03/01/2014 15:19,2014,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST AMBULANCE REMOVE HEAVY PATIENT,E05000179,Hanger Hill,E09000009,Ealing,Ealing,W5
5902141,15/01/2014 17:39,2014,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON FALLEN BEHIND LOCKED DOORS,E05000212,Upper Edmonton,E09000010,Enfield,Edmonton,N18
7652141,20/01/2014 03:52,2014,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PATIENT,E05000564,Sutton Central,E09000029,Sutton,Sutton,SM1
8439141,22/01/2014 05:31,2014,2013/14,Special Service,1,2,290,580,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY PATIENT,E05000098,Queens Park,E09000005,Brent,North Kensington,NW10
9528141,25/01/2014 01:02,2014,2013/14,Special Service,1,1,290,290,Bus/coach ,Road Vehicle,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH REMOVAL OF FEMALE FROM VEHICLE,E05000441,Crofton Park,E09000023,Lewisham,Lewisham,SE4
16290141,09/02/2014 17:46,2014,2013/14,Special Service,1,2,290,580,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS REMOVE ELDERLY PATIENT,E05000052,Garden Suburb,E09000003,Barnet,Finchley,NW11
17630141,12/02/2014 23:38,2014,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS TO GAIN ENTRY,E05000597,Hale End and Highams Park,E09000031,Waltham Forest,Woodford,IG8
17882141,13/02/2014 16:09,2014,2013/14,Special Service,1,2,290,580,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST WITH DIFFICULT REMOVAL,E05000184,Northolt Mandeville,E09000009,Ealing,Northolt,UB5
19378141,15/02/2014 19:35,2014,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PATIENT,E05011476,Purley & Woodcote,E09000008,Croydon,Purley,CR8
23386141,25/02/2014 00:40,2014,2013/14,Special Service,1,1,290,290,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,PERSON LOCKED IN,E05000040,Valence,E09000002,Barking and Dagenham,Dagenham,RM8
25412141,02/03/2014 01:48,2014,2013/14,Special Service,NULL,NULL,290,NULL,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH PATIENT,E05000460,Figge's Marsh,E09000024,Merton,Mitcham,CR4
25582141,02/03/2014 14:20,2014,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH HEAVY CASUALTY,E05011255,Wanstead Village,E09000026,Redbridge,Leytonstone,E11
29778141,11/03/2014 22:31,2014,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Medical Incident,Medical incident - Chest Pain / Cardiac Arrest / Heart condition ,ASSIST LAS WITH HEAVY PATIENT IN CARDIAC ARREST,E05000310,Gooshays,E09000016,Havering,Harold Hill,RM3
37009141,27/03/2014 12:13,2014,2013/14,Special Service,1,1,290,290,House - single occupancy ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH GAINING ENTRY,E05011478,Sanderstead,E09000008,Croydon,Purley,CR2
37664141,28/03/2014 18:34,2014,2013/14,Special Service,1,1,290,290,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,1,Assist other agencies,Assist ambulance with over weight person,ASSIST LAS WITH LIFTING PATIENT WITH LIFE THREATENING CONDITION,E05011462,Addiscombe East,E09000008,Croydon,Woodside,CR0
44588141,12/04/2014 17:51,2014,2014/15,Special Service,1,1,295,295,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,1,Assist other agencies,Other assistance to police/ambulance,ASSIST LAS WITH HEAVY PATIENT,E05000059,Totteridge,E09000003,Barnet,Finchley,N12
